order_id,product_id,order_date,planned_finish_date,actual_finish_date,quantity,order_status
42,2,2025-05-04,2025-05-13,2025-05-25,457,в работе
43,10,2025-05-07,2025-05-27,2025-05-14,137,в работе
44,9,2025-05-10,2025-05-18,2025-06-01,278,выполнен
45,10,2025-05-13,2025-05-25,2025-05-30,398,в работе
46,5,2025-05-16,2025-06-05,2025-06-08,325,выполнен
47,2,2025-05-19,2025-05-31,2025-05-27,287,в работе
48,4,2025-05-22,2025-06-02,2025-05-28,468,выполнен
49,7,2025-05-25,2025-06-01,2025-05-31,73,выполнен
50,8,2025-05-28,2025-06-02,2025-06-21,255,новый
51,3,2025-05-31,2025-06-20,2025-06-16,408,в работе
52,1,2025-06-03,2025-06-08,2025-06-13,497,в работе
53,4,2025-06-06,2025-06-26,2025-06-23,241,новый
54,2,2025-06-09,2025-06-25,2025-06-17,270,закрыт
55,8,2025-06-12,2025-06-27,2025-06-18,332,в работе
56,4,2025-06-15,2025-06-22,2025-06-21,420,закрыт
57,2,2025-06-18,2025-06-28,2025-07-01,131,в работе
58,6,2025-06-21,2025-07-02,2025-07-06,274,выполнен
59,6,2025-06-24,2025-07-04,2025-07-10,322,выполнен
60,10,2025-06-27,2025-07-15,2025-07-14,426,выполнен
61,4,2025-06-30,2025-07-18,2025-07-18,226,выполнен
62,6,2025-07-03,2025-07-13,2025-07-20,248,выполнен
63,2,2025-07-06,2025-07-16,2025-07-25,360,в работе
64,10,2025-07-09,2025-07-26,2025-07-16,417,закрыт
65,2,2025-07-12,2025-07-19,2025-08-05,85,закрыт
66,10,2025-07-15,2025-07-25,2025-08-07,94,закрыт
67,4,2025-07-18,2025-07-30,2025-07-26,454,в работе
68,8,2025-07-21,2025-08-05,2025-08-12,122,выполнен
69,7,2025-07-24,2025-08-08,2025-08-06,441,закрыт
70,9,2025-07-27,2025-08-02,2025-08-11,211,в работе
71,8,2025-07-30,2025-08-08,2025-08-06,271,новый
72,5,2025-08-02,2025-08-20,2025-08-26,245,выполнен
73,2,2025-08-05,2025-08-10,2025-08-19,313,выполнен
74,5,2025-08-08,2025-08-24,2025-08-20,325,закрыт
75,8,2025-08-11,2025-08-30,2025-08-20,117,в работе
76,10,2025-08-14,2025-09-03,2025-09-06,357,выполнен
77,9,2025-08-17,2025-08-22,2025-09-04,305,в работе
78,9,2025-08-20,2025-08-29,2025-09-05,354,в работе
79,1,2025-08-23,2025-09-08,2025-09-01,366,в работе
80,9,2025-08-26,2025-09-12,2025-09-04,454,закрыт
81,7,2025-08-29,2025-09-18,2025-09-13,466,выполнен
82,9,2025-09-01,2025-09-08,2025-09-11,327,выполнен
83,8,2025-09-04,2025-09-12,2025-09-18,268,в работе
84,1,2025-09-07,2025-09-14,2025-09-15,185,закрыт
85,8,2025-09-10,2025-09-30,2025-10-02,491,в работе
86,8,2025-09-13,2025-09-18,2025-09-21,354,закрыт
87,3,2025-09-16,2025-10-06,2025-10-07,49,выполнен
88,1,2025-09-19,2025-09-24,2025-09-28,266,в работе
89,8,2025-09-22,2025-10-08,2025-10-15,125,выполнен
90,3,2025-09-25,2025-10-11,2025-10-17,70,в работе
91,3,2025-09-28,2025-10-16,2025-10-10,100,выполнен
92,1,2025-10-01,2025-10-18,2025-10-11,152,выполнен
93,5,2025-10-04,2025-10-22,2025-10-21,304,в работе
94,10,2025-10-07,2025-10-16,2025-10-29,407,закрыт
95,7,2025-10-10,2025-10-20,2025-10-28,157,в работе
96,10,2025-10-13,2025-10-20,2025-10-21,203,выполнен
97,9,2025-10-16,2025-11-01,2025-10-30,420,закрыт
98,7,2025-10-19,2025-11-01,2025-11-10,349,выполнен
99,9,2025-10-22,2025-10-31,2025-11-13,292,в работе
100,8,2025-10-25,2025-11-06,2025-11-15,359,закрыт
101,2,2025-10-28,2025-11-14,2025-11-15,491,выполнен
102,1,2025-10-31,2025-11-05,2025-11-24,88,в работе
103,7,2025-11-03,2025-11-21,2025-11-25,53,в работе
104,7,2025-11-06,2025-11-15,2025-11-15,281,выполнен
105,8,2025-11-09,2025-11-28,2025-11-26,72,выполнен
106,5,2025-11-12,2025-11-19,2025-11-26,469,выполнен
107,3,2025-11-15,2025-12-01,2025-12-09,224,закрыт
108,8,2025-11-18,2025-11-23,2025-12-05,145,выполнен
109,6,2025-11-21,2025-11-29,2025-12-05,254,в работе
110,3,2025-11-24,2025-12-13,2025-12-06,62,в работе
111,1,2025-11-27,2025-12-14,2025-12-16,259,в работе
112,3,2025-11-30,2025-12-09,2025-12-24,478,выполнен
113,5,2025-12-03,2025-12-23,2025-12-23,390,новый
114,3,2025-12-06,2025-12-17,2025-12-27,130,выполнен
115,1,2025-12-09,2025-12-14,2025-12-19,268,выполнен
116,5,2025-12-12,2026-01-01,2025-12-20,170,закрыт
117,10,2025-12-15,2025-12-22,2026-01-01,202,в работе
118,7,2025-12-18,2026-01-07,2025-12-27,355,закрыт
119,7,2025-12-21,2025-12-27,2026-01-11,114,в работе
120,9,2025-12-24,2026-01-06,2026-01-05,478,закрыт
121,10,2025-12-27,2026-01-10,2026-01-14,393,в работе
122,10,2025-12-30,2026-01-18,2026-01-14,419,в работе
123,3,2026-01-02,2026-01-12,2026-01-14,27,выполнен
124,7,2026-01-05,2026-01-19,2026-01-24,407,в работе
125,1,2026-01-08,2026-01-15,2026-01-18,379,в работе
126,4,2026-01-11,2026-01-23,2026-01-19,407,выполнен
127,4,2026-01-14,2026-02-01,2026-01-30,203,выполнен
128,5,2026-01-17,2026-01-29,2026-02-02,300,выполнен
129,7,2026-01-20,2026-01-26,2026-02-12,214,выполнен
130,7,2026-01-23,2026-02-12,2026-02-12,371,выполнен
131,4,2026-01-26,2026-02-14,2026-02-12,214,в работе
132,7,2026-01-29,2026-02-08,2026-02-12,174,в работе
133,3,2026-02-01,2026-02-12,2026-02-16,112,в работе
134,6,2026-02-04,2026-02-10,2026-02-21,179,закрыт
135,2,2026-02-07,2026-02-26,2026-03-01,453,выполнен
136,10,2026-02-10,2026-02-25,2026-02-21,80,выполнен
137,9,2026-02-13,2026-02-27,2026-02-25,141,выполнен
138,5,2026-02-16,2026-02-22,2026-03-07,70,закрыт
139,6,2026-02-19,2026-03-05,2026-03-09,422,в работе
140,4,2026-02-22,2026-02-27,2026-03-07,296,выполнен
141,10,2026-02-25,2026-03-09,2026-03-12,24,выполнен
142,7,2026-02-28,2026-03-05,2026-03-14,485,выполнен
143,9,2026-03-03,2026-03-16,2026-03-26,111,новый
144,7,2026-03-06,2026-03-21,2026-03-13,189,закрыт
145,1,2026-03-09,2026-03-19,2026-03-19,336,закрыт
146,1,2026-03-12,2026-04-01,2026-03-22,41,выполнен
147,9,2026-03-15,2026-03-26,2026-03-26,424,выполнен
148,9,2026-03-18,2026-04-04,2026-04-11,345,закрыт
149,4,2026-03-21,2026-04-04,2026-04-03,20,выполнен
150,9,2026-03-24,2026-04-04,2026-04-14,152,в работе
151,3,2026-03-27,2026-04-10,2026-04-14,252,выполнен
152,7,2026-03-30,2026-04-06,2026-04-05,31,выполнен
153,6,2026-04-02,2026-04-08,2026-04-24,365,выполнен
154,8,2026-04-05,2026-04-18,2026-04-17,65,выполнен
155,9,2026-04-08,2026-04-20,2026-04-26,53,закрыт
156,5,2026-04-11,2026-04-28,2026-04-20,452,закрыт
157,1,2026-04-14,2026-04-30,2026-04-23,97,выполнен
158,3,2026-04-17,2026-05-01,2026-04-28,237,в работе
159,10,2026-04-20,2026-05-01,2026-05-14,320,закрыт
160,8,2026-04-23,2026-05-06,2026-05-10,430,закрыт
161,6,2026-04-26,2026-05-04,2026-05-08,92,в работе
162,8,2026-04-29,2026-05-16,2026-05-14,301,закрыт
163,9,2026-05-02,2026-05-10,2026-05-26,268,закрыт
164,4,2026-05-05,2026-05-10,2026-05-17,66,выполнен
165,1,2026-05-08,2026-05-20,2026-05-16,140,выполнен
166,1,2026-05-11,2026-05-31,2026-05-29,233,в работе
167,10,2026-05-14,2026-06-01,2026-06-01,258,новый
168,4,2026-05-17,2026-06-06,2026-06-09,75,в работе
169,7,2026-05-20,2026-06-07,2026-06-02,369,закрыт
170,2,2026-05-23,2026-06-08,2026-06-06,126,новый
171,3,2026-05-26,2026-06-02,2026-06-07,338,в работе
172,1,2026-05-29,2026-06-09,2026-06-04,67,в работе
173,5,2026-06-01,2026-06-20,2026-06-09,80,выполнен
174,1,2026-06-04,2026-06-20,2026-06-22,356,закрыт
175,8,2026-06-07,2026-06-13,2026-06-29,45,в работе
176,1,2026-06-10,2026-06-16,2026-06-16,311,в работе
177,1,2026-06-13,2026-07-03,2026-06-24,276,выполнен
178,2,2026-06-16,2026-06-27,2026-06-27,27,выполнен
179,2,2026-06-19,2026-07-08,2026-07-06,132,в работе
180,6,2026-06-22,2026-07-02,2026-07-10,374,выполнен
181,7,2026-06-25,2026-07-02,2026-07-13,272,в работе
182,5,2026-06-28,2026-07-11,2026-07-18,199,в работе
183,1,2026-07-01,2026-07-15,2026-07-22,226,выполнен
184,1,2026-07-04,2026-07-23,2026-07-20,322,выполнен
185,3,2026-07-07,2026-07-25,2026-07-17,146,закрыт
186,2,2026-07-10,2026-07-27,2026-07-19,75,в работе
187,5,2026-07-13,2026-07-23,2026-07-21,233,выполнен
188,10,2026-07-16,2026-07-30,2026-08-09,33,выполнен
189,6,2026-07-19,2026-08-02,2026-08-11,493,новый
190,7,2026-07-22,2026-08-01,2026-08-11,47,выполнен
191,4,2026-07-25,2026-07-30,2026-08-08,490,в работе
192,7,2026-07-28,2026-08-05,2026-08-19,97,закрыт
193,8,2026-07-31,2026-08-14,2026-08-19,235,в работе
194,1,2026-08-03,2026-08-13,2026-08-23,405,выполнен
195,6,2026-08-06,2026-08-25,2026-08-12,384,новый
196,8,2026-08-09,2026-08-19,2026-08-17,173,закрыт
197,5,2026-08-12,2026-08-27,2026-09-02,33,выполнен
198,4,2026-08-15,2026-08-31,2026-08-31,206,выполнен
199,2,2026-08-18,2026-08-27,2026-09-04,331,новый
200,6,2026-08-21,2026-08-26,2026-09-05,390,выполнен
201,6,2026-08-24,2026-09-05,2026-09-14,26,в работе
202,1,2026-08-27,2026-09-05,2026-09-09,22,закрыт
203,9,2026-08-30,2026-09-15,2026-09-10,130,в работе
204,6,2026-09-02,2026-09-18,2026-09-19,426,в работе
205,3,2026-09-05,2026-09-21,2026-09-18,257,новый
206,4,2026-09-08,2026-09-17,2026-09-17,382,выполнен
207,4,2026-09-11,2026-09-22,2026-09-24,258,выполнен
208,3,2026-09-14,2026-09-22,2026-10-07,293,новый
209,10,2026-09-17,2026-09-27,2026-09-27,313,выполнен
210,3,2026-09-20,2026-10-07,2026-10-04,246,выполнен
211,3,2026-09-23,2026-10-13,2026-10-02,390,выполнен
212,4,2026-09-26,2026-10-04,2026-10-18,34,выполнен
213,7,2026-09-29,2026-10-17,2026-10-13,211,выполнен
214,4,2026-10-02,2026-10-21,2026-10-08,492,выполнен
215,9,2026-10-05,2026-10-12,2026-10-23,138,в работе
216,1,2026-10-08,2026-10-19,2026-10-29,47,в работе
217,8,2026-10-11,2026-10-23,2026-10-29,221,закрыт
218,7,2026-10-14,2026-10-22,2026-11-02,58,закрыт
219,2,2026-10-17,2026-11-06,2026-10-25,460,в работе
220,8,2026-10-20,2026-11-06,2026-10-31,292,в работе
221,1,2026-10-23,2026-10-29,2026-11-15,250,выполнен
222,9,2026-10-26,2026-11-11,2026-11-19,105,выполнен
223,9,2026-10-29,2026-11-12,2026-11-08,493,новый
224,2,2026-11-01,2026-11-19,2026-11-21,145,в работе
225,7,2026-11-04,2026-11-11,2026-11-11,319,выполнен
226,10,2026-11-07,2026-11-12,2026-11-22,44,выполнен
227,3,2026-11-10,2026-11-22,2026-12-03,164,новый
228,7,2026-11-13,2026-12-02,2026-12-01,32,в работе
229,10,2026-11-16,2026-11-23,2026-11-26,231,в работе
230,9,2026-11-19,2026-12-05,2026-11-25,44,выполнен
231,4,2026-11-22,2026-12-06,2026-11-28,87,новый
232,1,2026-11-25,2026-12-06,2026-12-18,413,в работе
233,2,2026-11-28,2026-12-12,2026-12-18,86,выполнен
234,1,2026-12-01,2026-12-10,2026-12-23,252,в работе
235,5,2026-12-04,2026-12-18,2026-12-20,128,выполнен
236,5,2026-12-07,2026-12-16,2026-12-29,165,в работе
237,7,2026-12-10,2026-12-28,2026-12-28,130,новый
238,9,2026-12-13,2026-12-24,2026-12-19,247,в работе
239,9,2026-12-16,2027-01-04,2026-12-23,130,выполнен
240,3,2026-12-19,2027-01-01,2027-01-02,489,закрыт
