defect_id,order_id,equipment_id,defect_type,severity,defect_date,defect_status
58,208,1,Размерный,2,2025-11-05,устранён
59,18,1,Размерный,5,2025-07-01,устранён
60,29,3,Поверхностный,3,2025-07-05,устранён
61,76,2,Сборочный,4,2025-06-05,устранён
62,229,6,Размерный,2,2025-05-07,на доработке
63,26,2,Размерный,4,2025-01-16,устранён
64,188,1,Размерный,5,2025-01-05,устранён
65,52,5,Геометрический,5,2025-06-27,на доработке
66,127,4,Размерный,3,2025-09-12,на доработке
67,228,5,Поверхностный,1,2025-01-11,на доработке
68,189,5,Сборочный,5,2025-12-07,устранён
69,237,1,Сборочный,5,2025-05-31,списан
70,222,5,Сборочный,4,2025-04-14,устранён
71,53,2,Геометрический,4,2025-03-31,на доработке
72,240,1,Размерный,1,2025-01-12,устранён
73,182,4,Размерный,3,2025-07-16,списан
74,226,5,Сборочный,2,2025-12-31,на доработке
75,78,3,Поверхностный,4,2025-06-30,устранён
76,56,1,Размерный,5,2025-09-13,списан
77,171,1,Сборочный,5,2025-08-09,устранён
78,51,2,Размерный,4,2025-12-17,на доработке
79,232,4,Геометрический,4,2025-04-08,на доработке
80,195,1,Геометрический,5,2025-05-26,на доработке
81,63,1,Сборочный,2,2025-04-15,устранён
82,93,1,Сборочный,5,2025-07-26,устранён
83,80,4,Размерный,5,2025-12-20,устранён
84,167,2,Геометрический,3,2025-12-13,на доработке
85,174,2,Поверхностный,2,2025-02-18,устранён
86,151,6,Размерный,1,2025-02-28,устранён
87,199,2,Геометрический,3,2025-10-26,устранён
88,216,1,Размерный,2,2025-03-21,устранён
89,205,3,Размерный,4,2025-07-14,на доработке
90,86,2,Геометрический,2,2025-05-04,устранён
91,55,5,Размерный,4,2025-12-17,на доработке
92,186,6,Геометрический,4,2025-07-26,на доработке
93,16,5,Геометрический,1,2025-02-06,на доработке
94,158,5,Поверхностный,4,2025-12-22,на доработке
95,19,5,Размерный,1,2025-04-27,устранён
96,34,2,Геометрический,2,2025-02-11,устранён
97,231,5,Поверхностный,2,2025-01-10,на доработке
98,188,3,Геометрический,1,2025-04-02,списан
99,78,5,Поверхностный,5,2025-02-18,устранён
100,69,2,Геометрический,4,2025-10-23,устранён
101,63,3,Размерный,2,2025-06-10,устранён
102,97,6,Геометрический,3,2025-10-19,устранён
103,10,6,Геометрический,1,2025-03-12,устранён
104,21,4,Сборочный,4,2025-07-01,на доработке
105,5,5,Поверхностный,1,2025-04-03,на доработке
106,97,1,Геометрический,3,2025-10-04,устранён
107,40,3,Геометрический,5,2025-02-24,устранён
108,172,5,Поверхностный,5,2025-07-03,списан
109,215,6,Сборочный,5,2025-03-28,на доработке
110,66,3,Сборочный,2,2025-02-11,списан
111,73,1,Сборочный,2,2025-03-04,на доработке
112,19,1,Геометрический,2,2025-09-03,устранён
113,81,4,Размерный,5,2025-07-16,устранён
114,196,5,Геометрический,4,2025-11-03,устранён
115,69,2,Поверхностный,1,2025-07-30,на доработке
116,17,6,Размерный,3,2025-04-09,устранён
117,129,4,Геометрический,4,2025-07-07,на доработке
118,214,3,Сборочный,5,2025-03-17,на доработке
119,213,1,Геометрический,1,2025-01-10,устранён
120,59,6,Сборочный,4,2025-12-08,устранён
